X (mm)	Y (mm)	Z (mm)	tan(thetaX)	tan(thetaY)	devZ (mm)	devTanX	devTanY
-310.06134969325154	375.70588235294133	0.0	0.0	-7.643382793959791e-05	0.0	0.0054414006834354045	-7.643382793959791e-05
-310.06134969325154	365.7647058823531	0.0	0.0	9.587682633146907e-05	0.0	0.0054107765007531785	9.587682633146907e-05
-310.06134969325154	355.82352941176487	0.0	0.0	0.0002675652773351466	0.0	0.0053919125689853575	0.0002675652773351466
-310.06134969325154	345.88235294117663	0.0	0.0	0.000436718107438559	0.0	0.005384225688958549	0.000436718107438559
-310.06134969325154	335.9411764705884	0.0	0.0	0.0006013685862712654	0.0	0.00538705000970912	0.0006013685862712654
-310.06134969325154	326.00000000000006	0.0	0.0	0.0007594966696978663	0.0	0.005399637027711438	0.0007594966696978663
-310.06134969325154	316.05882352941194	0.0	0.0	0.0009090289989608021	0.0	0.0054211555860568545	0.0009090289989608021
-310.06134969325154	306.1176470588236	0.0	0.0	0.0010478389000869927	0.0	0.005450691873590745	0.0010478389000869927
-310.06134969325154	296.1764705882355	0.0	0.0	0.0011737463836453315	0.0	0.005487249424017709	0.0011737463836453315
-310.06134969325154	286.23529411764713	0.0	0.0	0.0012845187118177039	0.0	0.005529749114989491	0.0012845187118177039
-310.06134969325154	276.294117647059	0.0	0.0	0.0013779509560521137	0.0	0.0055770291671955585	0.0013779509560521137
-310.06134969325154	266.35294117647067	0.0	0.0	0.0014521725186217977	0.0	0.005627845143483076	0.0014521725186217977
-310.06134969325154	256.41176470588255	0.0	0.0	0.0015057735827636058	0.0	0.00568086994804042	0.0015057735827636058
-310.06134969325154	246.47058823529423	0.0	0.0	0.001537807853784399	0.0	0.005734693825686621	0.001537807853784399
-310.06134969325154	236.5294117647061	0.0	0.0	0.0015477925606426158	0.0	0.005787824361317228	0.0015477925606426158
-310.06134969325154	226.58823529411777	0.0	0.0	0.001535708456919913	0.0	0.005838688142801057	0.001535708456919913
-310.06134969325154	216.64705882352965	0.0	0.0	0.001501999821047823	0.0	0.005885701268457021	0.001501999821047823
-310.06134969325154	206.7058823529413	0.0	0.0	0.0014475744557655042	0.0	0.005927433243265642	0.0014475744557655042
-310.06134969325154	196.76470588235318	0.0	0.0	0.001373803686897546	0.0	0.0059626481618339855	0.001373803686897546
-310.06134969325154	186.82352941176484	0.0	0.0	0.0012825223616411139	0.0	0.005990304961519073	0.0012825223616411139
-310.06134969325154	176.88235294117672	0.0	0.0	0.0011760288466262801	0.0	0.006009557423718913	0.0011760288466262801
-310.06134969325154	166.94117647058837	0.0	0.0	0.0010570850260508784	0.0	0.006019754175028983	0.0010570850260508784
-310.06134969325154	157.00000000000026	0.0	0.0	0.0009289163001844003	0.0	0.006020438688178493	0.0009289163001844003
-310.06134969325154	147.0588235294119	0.0	0.0	0.0007952115844807849	0.0	0.006011349282677747	0.0007952115844807849
-310.06134969325154	137.1176470588238	0.0	0.0	0.0006601233094405286	0.0	0.005992419125127819	0.0006601233094405286
-310.06134969325154	127.17647058823545	0.0	0.0	0.0005282674212273331	0.0	0.005963776229166014	0.0005282674212273331
-310.06134969325154	117.23529411764733	0.0	0.0	0.00040472338289158764	0.0	0.005925743455043969	0.00040472338289158764
-310.06134969325154	107.29411764705898	0.0	0.0	0.00029503417590824956	0.0	0.005878838508858701	0.00029503417590824956
-310.06134969325154	97.35294117647086	0.0	0.0	0.00020520630163791708	0.0	0.005823773941479345	0.00020520630163791708
-310.06134969325154	87.41176470588252	0.0	0.0	0.000141709782314603	0.0	0.0057614571472327306	0.000141709782314603
-310.06134969325154	77.4705882352944	0.0	0.0	0.00011145590750639598	0.0	0.005692990362427948	0.00011145590750639598
-310.06134969325154	67.52941176470605	0.0	0.0	0.0001207537103491031	0.0	0.005619670663813788	0.0001207537103491031
