X (mm)	Y (mm)	Z (mm)	tan(thetaX)	tan(thetaY)	devZ (mm)	devTanX	devTanY
-300.0	862.8235294117648	0.0	0.0	-0.0004894533259723072	0.0	0.006364837393781615	-0.0004894533259723072
-300.0	852.8823529411767	0.0	0.0	-0.000492891503338039	0.0	0.006298754587691892	-0.000492891503338039
-300.0	842.9411764705883	0.0	0.0	-0.0004650639118902798	0.0	0.006225929796075249	-0.0004650639118902798
-300.0	833.0000000000001	0.0	0.0	-0.0004070250269830065	0.0	0.00614753306979221	-0.0004070250269830065
-300.0	823.0588235294118	0.0	0.0	-0.00032050536966795766	0.0	0.006064798109626986	-0.00032050536966795766
-300.0	813.1176470588236	0.0	0.0	-0.00020782671350289355	0.0	0.005979011046041328	-0.00020782671350289355
-300.0	803.1764705882354	0.0	0.0	-7.181729113159005e-05	0.0	0.00589149729377568	-7.181729113159005e-05
-300.0	793.2352941176472	0.0	0.0	8.427299878385229e-05	0.0	0.005803606856439329	8.427299878385229e-05
-300.0	783.2941176470589	0.0	0.0	0.0002568573837903312	0.0	0.005716699465269264	0.0002568573837903312
-300.0	773.3529411764707	0.0	0.0	0.0004420970087304777	0.0	0.0056321297179321	0.0004420970087304777
-300.0	763.4117647058824	0.0	0.0	0.0006359857222826973	0.0	0.005551232217612739	0.0006359857222826973
-300.0	753.4705882352943	0.0	0.0	0.0008344336778125303	0.0	0.005475306712351892	0.0008344336778125303
-300.0	743.529411764706	0.0	0.0	0.001033341411519113	0.0	0.005405603234586548	0.001033341411519113
-300.0	733.5882352941178	0.0	0.0	0.0012286633962962608	0.0	0.005343307240842511	0.0012286633962962608
-300.0	723.6470588235295	0.0	0.0	0.0014164699217780314	0.0	0.005289524751525816	0.0014164699217780314
-300.0	713.7058823529413	0.0	0.0	0.001593008965275899	0.0	0.005245267490759768	0.001593008965275899
-300.0	703.764705882353	0.0	0.0	0.0017547680640139249	0.0	0.0052114380262154964	0.0017547680640139249
-300.0	693.8235294117649	0.0	0.0	0.0018985361888607466	0.0	0.005188814908885969	0.0018985361888607466
-300.0	683.8823529411766	0.0	0.0	0.002021465619534049	0.0	0.005178037812754917	0.002021465619534049
-300.0	673.9411764705884	0.0	0.0	0.0021211338210218077	0.0	0.00517959267431329	0.0021211338210218077
-300.0	664.0000000000001	0.0	0.0	0.002195605320758534	0.0	0.005193796831875597	0.002195605320758534
-300.0	654.0588235294119	0.0	0.0	0.0022434935859464307	0.0	0.005220784164647195	0.0022434935859464307
-300.0	644.1176470588236	0.0	0.0	0.002264022900344792	0.0	0.005260490231491536	0.002264022900344792
-300.0	634.1764705882355	0.0	0.0	0.002257088219957046	0.0	0.005312637416776551	0.002257088219957046
-300.0	624.2352941176472	0.0	0.0	0.002223272649987639	0.0	0.005376722163376259	0.002223272649987639
-300.0	614.294117647059	0.0	0.0	0.0021637711678918876	0.0	0.005452017850660813	0.0021637711678918876
-300.0	604.3529411764707	0.0	0.0	0.002080282214407635	0.0	0.005537594023430198	0.002080282214407635
-300.0	594.4117647058825	0.0	0.0	0.001974898301163502	0.0	0.005632338052130666	0.001974898301163502
-300.0	584.4705882352943	0.0	0.0	0.0018499966180619714	0.0	0.005734976804930672	0.0018499966180619714
-300.0	574.5294117647061	0.0	0.0	0.0017081296410306381	0.0	0.005844098319708539	0.0017081296410306381
-300.0	564.5882352941178	0.0	0.0	0.0015519157405865663	0.0	0.005958173476054202	0.0015519157405865663
-300.0	554.6470588235296	0.0	0.0	0.0013839297914649347	0.0	0.006075577667396306	0.0013839297914649347
